1,3019,2415,1811,7849,4226
2,1207,603,604,1208,4226
3,1207,604,1208,1812,2415
4,1208,603,1207,2415,2415
5,1811,1811,1811,3622,4830
6,3019,1207,2415,3622,13283
7,3019,2415,2415,4830,6641
8,3622,2415,3019,4226,13282
9,3622,1811,3019,4830,8452
10,4226,2415,3622,4830,9660
11,6641,3018,4830,6642,12679
12,7245,4226,5434,7245,33810
13,6642,2415,5434,6037,12075
14,6641,4226,6037,7848,15697
15,12679,4830,7848,5433,10264
16,10867,4226,6641,8452,37432
17,11471,4830,7849,8452,45281
18,24149,4830,12075,9660,16905
19,13886,6037,10264,10868,28376
20,16301,5434,10868,15697,20528
21,14490,17508,78487,7849,13282
22,16301,14490,10867,10263,21735
23,24753,7245,13886,10867,93581
24,17509,7245,24150,11471,14490
25,15093,7849,12679,17509,6641
26,30791,9056,17508,13283,6641
27,28980,12075,17509,15697,7245
28,22943,10264,12678,21131,17509
29,34413,12075,24754,16301,7245
30,30188,12679,20527,20527,6038
31,35017,10264,21735,4227,12678
32,31998,19320,26565,4227,6641
33,42263,17509,31999,6037,13886
34,46488,19319,29584,6037,9660
35,46489,15698,30791,4226,6037
36,50110,19320,29583,10264,16301
37,49507,18716,32602,5434,9660
38,56148,23546,36828,6037,9056
39,57960,18716,39847,5434,13282
40,62790,23546,38640,5434,10263
41,60375,20528,37432,6037,9659
42,65205,28980,39244,5434,13283
43,74261,30791,42263,6037,13886
44,71243,26565,35018,6038,9660
45,70639,33810,42262,6037,14490
46,84524,26565,45884,6038,30187
47,221575,26564,49507,6641,15698
48,77280,29584,45885,6641,11471
49,89958,27772,44073,4830,10867
50,82109,39243,51319,5434,13887
51,82713,36225,53130,5434,56148
52,103844,33206,53733,6037,18717
53,101429,45885,61582,8452,19320
54,109279,50715,63394,8453,35017
55,111090,46488,68223,6641,21735
56,111693,39244,54941,8452,12678
57,111090,38640,57356,9056,14490
58,109882,39243,58564,7849,18112
59,113504,39848,65809,7245,33206
60,193803,35621,49507,6641,15698
61,406321,48904,76072,9057,17509
62,147918,50715,79090,13282,20527
63,172067,33810,58563,7245,14490
64,149729,50111,110485,13283,19924
65,287383,58563,82110,9660,21735
66,166031,53734,114712,9660,25357
67,169652,56752,118938,33206,16301
68,173879,61583,115919,9056,16905
69,190180,141880,89354,8452,20527
70,717251,77883,95392,10868,27772
71,440735,62186,87543,13283,59771
72,86940,61582,107467,10867,40451
73,103845,74261,173879,9660,16905
74,38640,42262,51318,10264,46488
75,38036,68224,31998,11471,18113
76,35621,79091,33810,11471,11471
